geoid,name,pct_responsible_exclusion
40051,"Grady County, Oklahoma",Retained
51191,"Washington County, Virginia",Retained
13077,"Coweta County, Georgia",Retained
18157,"Tippecanoe County, Indiana",Retained
40031,"Comanche County, Oklahoma",Retained
40079,"Le Flore County, Oklahoma",Retained
30013,"Cascade County, Montana",Retained
26051,"Gladwin County, Michigan",Retained
51121,"Montgomery County, Virginia",Retained
40147,"Washington County, Oklahoma",Retained
39039,"Defiance County, Ohio",Retained
21145,"McCracken County, Kentucky",Retained
08101,"Pueblo County, Colorado",Retained
48373,"Polk County, Texas",Retained
40049,"Garvin County, Oklahoma",Retained
23029,"Washington County, Maine",Retained
12033,"Escambia County, Florida",Retained
17199,"Williamson County, Illinois",Retained
23003,"Aroostook County, Maine",Retained
39099,"Mahoning County, Ohio",Retained
45003,"Aiken County, South Carolina",Retained
39095,"Lucas County, Ohio",Retained
02180,"Nome Census Area, Alaska",Retained
36113,"Warren County, New York",Retained
06033,"Lake County, California",Retained
51175,"Southampton County, Virginia",Retained
37111,"McDowell County, North Carolina",Retained
54039,"Kanawha County, West Virginia",Retained
40085,"Love County, Oklahoma",Retained
37133,"Onslow County, North Carolina",Retained
21117,"Kenton County, Kentucky",Retained
48049,"Brown County, Texas",Retained
48291,"Liberty County, Texas",Retained
47093,"Knox County, Tennessee",Retained
48277,"Lamar County, Texas",Retained
39047,"Fayette County, Ohio",Retained
42127,"Wayne County, Pennsylvania",Retained
22089,"St. Charles Parish, Louisiana",Retained
42015,"Bradford County, Pennsylvania",Retained
45021,"Cherokee County, South Carolina",Retained
47163,"Sullivan County, Tennessee",Retained
48499,"Wood County, Texas",Retained
21227,"Warren County, Kentucky",Retained
01055,"Etowah County, Alabama",Retained
47053,"Gibson County, Tennessee",Retained
36049,"Lewis County, New York",Retained
55055,"Jefferson County, Wisconsin",Retained
48363,"Palo Pinto County, Texas",Retained
47129,"Morgan County, Tennessee",Retained
47011,"Bradley County, Tennessee",Retained
28095,"Monroe County, Mississippi",Retained
36075,"Oswego County, New York",Retained
17011,"Bureau County, Illinois",Retained
29037,"Cass County, Missouri",Retained
47157,"Shelby County, Tennessee",Retained
05119,"Pulaski County, Arkansas",Retained
22113,"Vermilion Parish, Louisiana",Retained
12107,"Putnam County, Florida",Retained
48027,"Bell County, Texas",Retained
22071,"Orleans Parish, Louisiana",Retained
40087,"McClain County, Oklahoma",Retained
36017,"Chenango County, New York",Retained
42067,"Juniata County, Pennsylvania",Retained
37067,"Forsyth County, North Carolina",Retained
18085,"Kosciusko County, Indiana",Retained
36117,"Wayne County, New York",Retained
39053,"Gallia County, Ohio",Retained
17091,"Kankakee County, Illinois",Retained
39169,"Wayne County, Ohio",Retained
17021,"Christian County, Illinois",Retained
47063,"Hamblen County, Tennessee",Retained
40131,"Rogers County, Oklahoma",Retained
55099,"Price County, Wisconsin",Retained
48183,"Gregg County, Texas",Retained
19013,"Black Hawk County, Iowa",Retained
13233,"Polk County, Georgia",Retained
19155,"Pottawattamie County, Iowa",Retained
18073,"Jasper County, Indiana",Retained
18167,"Vigo County, Indiana",Retained
21199,"Pulaski County, Kentucky",Retained
24001,"Allegany County, Maryland",Retained
13137,"Habersham County, Georgia",Retained
29071,"Franklin County, Missouri",Retained
28035,"Forrest County, Mississippi",Retained
39155,"Trumbull County, Ohio",Retained
01015,"Calhoun County, Alabama",Retained
47155,"Sevier County, Tennessee",Retained
22015,"Bossier Parish, Louisiana",Retained
26129,"Ogemaw County, Michigan",Retained
17037,"DeKalb County, Illinois",Retained
40109,"Oklahoma County, Oklahoma",Retained
22033,"East Baton Rouge Parish, Louisiana",Retained
39101,"Marion County, Ohio",Retained
48281,"Lampasas County, Texas",Retained
45045,"Greenville County, South Carolina",Retained
45055,"Kershaw County, South Carolina",Retained
27137,"St. Louis County, Minnesota",Retained
28135,"Tallahatchie County, Mississippi",Retained
46103,"Pennington County, South Dakota",Retained
47079,"Henry County, Tennessee",Retained
01001,"Autauga County, Alabama",Retained
28121,"Rankin County, Mississippi",Retained
42059,"Greene County, Pennsylvania",Retained
21103,"Henry County, Kentucky",Retained
29109,"Lawrence County, Missouri",Retained
47189,"Wilson County, Tennessee",Retained
26059,"Hillsdale County, Michigan",Retained
51001,"Accomack County, Virginia",Retained
40145,"Wagoner County, Oklahoma",Retained
18051,"Gibson County, Indiana",Retained
26035,"Clare County, Michigan",Retained
35045,"San Juan County, New Mexico",Retained
23025,"Somerset County, Maine",Retained
21111,"Jefferson County, Kentucky",Retained
